Dia,Dia da semana,Cinemas,Bilheteria diária,Bilheteria média por cinema,Bilheteria total até a data
1,Terça-feira,2634,14242063.0,5407.0,14242063.0
2,Quarta-feira,2634,4047558.0,1536.0,18289621.0
3,Quinta-feira,2634,3697749.0,1403.0,21987370.0
4,Sexta-feira,2852,5208443.0,1826.0,27195813.0
5,Sábado,2852,7176860.0,2516.0,34372673.0
6,Domingo,2852,7295576.0,2558.0,41668249.0
7,Segunda-feira,2852,4000345.0,1402.0,45668594.0
8,Terça-feira,2852,3829243.0,1342.0,49497837.0
9,Quarta-feira,2852,4424714.0,1551.0,53922551.0
10,Quinta-feira,2852,4576030.0,1604.0,58498581.0
11,Sexta-feira,3265,7491176.0,2294.0,65989757.0
12,Sábado,3265,10225969.0,3131.0,76215726.0
13,Domingo,3265,9563034.0,2928.0,85778760.0
14,Segunda-feira,3265,4954802.0,1517.0,90733562.0
15,Terça-feira,3265,5449143.0,1668.0,96182705.0
16,Quarta-feira,3265,4722496.0,1446.0,100905201.0
17,Quinta-feira,3265,3702736.0,1134.0,104607937.0
18,Sexta-feira,3285,5706503.0,1737.0,110314440.0
19,Sábado,3285,7434144.0,2263.0,117748584.0
20,Domingo,3285,6684928.0,2034.0,124433512.0
21,Segunda-feira,3285,3168715.0,964.0,127602227.0
22,Terça-feira,3285,3391237.0,1032.0,130993464.0
23,Quarta-feira,3285,3001183.0,913.0,133994647.0
24,Quinta-feira,3285,2568118.0,781.0,136562765.0
25,Sexta-feira,3411,3766483.0,1104.0,140329248.0
26,Sábado,3411,4813624.0,1411.0,145142872.0
27,Domingo,3411,4233910.0,1241.0,149376782.0
28,Segunda-feira,3411,2001037.0,586.0,151377819.0
29,Terça-feira,3411,2061068.0,604.0,153438887.0
30,Quarta-feira,3411,1561130.0,457.0,155000017.0
31,Quinta-feira,3411,1440581.0,422.0,156440598.0
32,Sexta-feira,2975,2212603.0,743.0,158653201.0
33,Sábado,2975,2870372.0,964.0,161523573.0
34,Domingo,2975,2487447.0,836.0,164011020.0
35,Segunda-feira,2975,1077170.0,362.0,165088190.0
36,Terça-feira,2975,1170049.0,393.0,166258239.0
37,Quarta-feira,2975,900673.0,302.0,167158912.0
38,Quinta-feira,2975,822486.0,276.0,167981398.0
39,Sexta-feira,2803,1351067.0,482.0,169332465.0
40,Sábado,2803,1965278.0,701.0,171297743.0
41,Domingo,2803,1551871.0,553.0,172849614.0
42,Segunda-feira,2803,590638.0,210.0,173440252.0
43,Terça-feira,2803,732454.0,261.0,174172706.0
44,Quarta-feira,2803,562444.0,200.0,174735150.0
45,Quinta-feira,2803,438073.0,156.0,175173223.0
46,Sexta-feira,2152,700510.0,325.0,175873733.0
47,Sábado,2152,1040428.0,483.0,176914161.0
48,Domingo,2152,859698.0,399.0,177773859.0
49,Segunda-feira,2152,311218.0,144.0,178085077.0
50,Terça-feira,2152,390157.0,181.0,178475234.0
51,Quarta-feira,2152,314560.0,146.0,178789794.0
52,Quinta-feira,2152,246128.0,114.0,179035922.0
53,Sexta-feira,1602,401003.0,250.0,179436925.0
54,Sábado,1602,600016.0,374.0,180036941.0
55,Domingo,1602,550688.0,343.0,180587629.0
56,Segunda-feira,1602,157924.0,98.0,180745553.0
57,Terça-feira,1602,180788.0,112.0,180926341.0
58,Quarta-feira,1602,158568.0,98.0,181084909.0
59,Quinta-feira,1602,119585.0,74.0,181204494.0
60,Sexta-feira,1100,210213.0,191.0,181414707.0
61,Sábado,1100,352642.0,320.0,181767349.0
62,Domingo,1100,371162.0,337.0,182138511.0
63,Segunda-feira,1100,337389.0,306.0,182475900.0
64,Terça-feira,1100,103552.0,94.0,182579452.0
65,Quarta-feira,1100,90087.0,81.0,182669539.0
66,Quinta-feira,1100,60703.0,55.0,182730242.0
67,Sexta-feira,730,100469.0,137.0,182830711.0
68,Sábado,730,175069.0,239.0,183005780.0
69,Domingo,730,131313.0,179.0,183137093.0
70,Segunda-feira,730,45021.0,61.0,183182114.0
71,Terça-feira,730,52090.0,71.0,183234204.0
72,Quarta-feira,730,41280.0,56.0,183275484.0
73,Quinta-feira,730,34820.0,47.0,183310304.0
74,Sexta-feira,390,63038.0,161.0,183373342.0
75,Sábado,390,103712.0,265.0,183477054.0
76,Domingo,390,79479.0,203.0,183556533.0
77,Segunda-feira,390,26284.0,67.0,183582817.0
78,Terça-feira,390,30651.0,78.0,183613468.0
79,Quarta-feira,390,26020.0,66.0,183639488.0
80,Quinta-feira,390,24627.0,63.0,183664115.0
81,Sexta-feira,303,46100.0,152.0,183710215.0
82,Sábado,303,79685.0,262.0,183789900.0
83,Domingo,303,51793.0,170.0,183841693.0
84,Segunda-feira,303,21443.0,70.0,183863136.0
85,Terça-feira,303,21275.0,70.0,183884411.0
86,Quarta-feira,303,17404.0,57.0,183901815.0
87,Quinta-feira,303,13102.0,43.0,183914917.0
88,Sexta-feira,125,17318.0,138.0,183932235.0
89,Sábado,125,25512.0,204.0,183957747.0
90,Domingo,125,18569.0,148.0,183976316.0
91,Segunda-feira,125,6046.0,48.0,183982362.0
92,Terça-feira,125,9938.0,79.0,183992300.0
93,Quarta-feira,125,8239.0,65.0,184000539.0
94,Quinta-feira,125,7974.0,63.0,184008513.0
95,Sexta-feira,78,8727.0,111.0,184017240.0
96,Sábado,78,12853.0,164.0,184030093.0
97,Domingo,78,8781.0,112.0,184038874.0
98,Segunda-feira,78,4478.0,57.0,184043352.0
99,Terça-feira,78,3686.0,47.0,184047038.0
100,Quarta-feira,78,3459.0,44.0,184050497.0
101,Quinta-feira,78,6297.0,80.0,184056794.0
102,Sexta-feira,72,5330.0,74.0,184062124.0
103,Sábado,72,6784.0,94.0,184068908.0
104,Domingo,72,3818.0,53.0,184072726.0
