País,Bilheteria total,Bilheteria estreia,Data de lançamento,Região
"US, Canada and Puerto Rico",184072726.0,19680879.0,4/07/2023,Domestic
United Kingdom,2720566.0,956748.0,1/09/2023,"Europe, Middle East and East Africa"
Saudi Arabia,2165925.0,0.0,14/08/2023,"Europe, Middle East and East Africa"
Spain,1003915.0,626669.0,13/10/2023,"Europe, Middle East and East Africa"
United Arab Emirates,832010.0,153695.0,17/08/2023,"Europe, Middle East and East Africa"
South Africa,374293.0,87927.0,18/08/2023,"Europe, Middle East and East Africa"
Croatia,290835.0,73698.0,31/08/2023,"Europe, Middle East and East Africa"
Nigeria,276058.0,0.0,18/08/2023,"Europe, Middle East and East Africa"
South Africa/Nigeria,276058.0,0.0,18/08/2023,"Europe, Middle East and East Africa"
Poland,252850.0,82558.0,15/09/2023,"Europe, Middle East and East Africa"
Kuwait,197760.0,0.0,17/08/2023,"Europe, Middle East and East Africa"
Iceland,76454.0,11914.0,18/08/2023,"Europe, Middle East and East Africa"
Slovenia,67694.0,16403.0,31/08/2023,"Europe, Middle East and East Africa"
Oman,62083.0,0.0,17/08/2023,"Europe, Middle East and East Africa"
Lithuania,43617.0,5654.0,18/08/2023,"Europe, Middle East and East Africa"
Serbia and Montenegro,29526.0,0.0,31/08/2023,"Europe, Middle East and East Africa"
East Africa,23248.0,0.0,15/09/2023,"Europe, Middle East and East Africa"
Mexico,12342076.0,3486358.0,31/08/2023,Latin America
Brazil,8173727.0,0.0,21/09/2023,Latin America
Colombia,4489429.0,1098931.0,31/08/2023,Latin America
Argentina,3970069.0,0.0,31/08/2023,Latin America
Peru,3040096.0,0.0,31/08/2023,Latin America
Ecuador,2012639.0,0.0,31/08/2023,Latin America
Costa Rica,1386538.0,0.0,31/08/2023,Latin America
Chile,1355944.0,0.0,31/08/2023,Latin America
Panama,906539.0,0.0,31/08/2023,Latin America
Guatemala,689533.0,0.0,31/08/2023,Latin America
Bolivia,660646.0,0.0,31/08/2023,Latin America
Honduras,532108.0,0.0,31/08/2023,Latin America
Venezuela,436993.0,0.0,31/08/2023,Latin America
Uruguay,415942.0,0.0,31/08/2023,Latin America
El Salvador,268063.0,0.0,31/08/2023,Latin America
Nicaragua,207786.0,0.0,31/08/2023,Latin America
Paraguay,205039.0,0.0,31/08/2023,Latin America
Australia,3237608.0,0.0,24/08/2023,Asia Pacific
New Zealand,847016.0,257871.0,24/08/2023,Asia Pacific
Russia/CIS,312867.0,137202.0,14/09/2023,Asia Pacific
Taiwan,253273.0,0.0,21/09/2023,Asia Pacific
